bank_customer_id,global_customer_id,bank_id,registration_date,risk_score
garanti_78,CUST_0136,garanti,2022-06-07,40
garanti_79,CUST_0138,garanti,2020-08-20,43
garanti_80,CUST_0142,garanti,2023-05-28,63
garanti_81,CUST_0145,garanti,2021-09-15,51
garanti_82,CUST_0149,garanti,2021-04-10,96
garanti_83,CUST_0152,garanti,2022-01-07,21
garanti_84,CUST_0154,garanti,2022-07-05,3
garanti_85,CUST_0156,garanti,2024-07-20,45
garanti_86,CUST_0158,garanti,2022-09-19,88
garanti_87,CUST_0159,garanti,2024-02-25,46
garanti_88,CUST_0162,garanti,2024-09-06,46
garanti_89,CUST_0164,garanti,2023-04-15,81
garanti_90,CUST_0165,garanti,2023-06-01,39
garanti_91,CUST_0169,garanti,2021-02-25,31
garanti_92,CUST_0170,garanti,2021-02-14,65
garanti_93,CUST_0171,garanti,2024-03-12,36
garanti_94,CUST_0172,garanti,2024-10-27,8
garanti_95,CUST_0177,garanti,2023-11-15,81
garanti_96,CUST_0179,garanti,2024-08-12,33
garanti_97,CUST_0181,garanti,2020-10-17,50
garanti_98,CUST_0184,garanti,2025-07-02,4
garanti_99,CUST_0185,garanti,2023-11-29,72
garanti_100,CUST_0186,garanti,2022-10-01,36
garanti_101,CUST_0188,garanti,2023-11-02,29
garanti_102,CUST_0189,garanti,2023-11-10,20
garanti_103,CUST_0191,garanti,2021-06-05,44
garanti_104,CUST_0193,garanti,2023-06-24,51
garanti_105,CUST_0194,garanti,2022-03-28,85
garanti_106,CUST_0195,garanti,2023-06-21,18
garanti_107,CUST_0196,garanti,2022-09-27,12
garanti_108,CUST_0197,garanti,2024-01-20,94
garanti_109,CUST_0198,garanti,2022-06-16,49
garanti_110,CUST_0200,garanti,2024-07-20,67
garanti_111,CUST_0202,garanti,2025-06-30,87
garanti_112,CUST_0203,garanti,2023-01-21,79
garanti_113,CUST_0204,garanti,2022-01-12,81
garanti_114,CUST_0206,garanti,2022-12-18,88
garanti_115,CUST_0207,garanti,2022-03-13,30
garanti_116,CUST_0208,garanti,2021-12-16,54
garanti_117,CUST_0209,garanti,2023-12-21,31
garanti_118,CUST_0210,garanti,2023-04-09,74
garanti_119,CUST_0211,garanti,2022-04-11,20
garanti_120,CUST_0212,garanti,2020-12-18,55
garanti_121,CUST_0214,garanti,2021-05-23,40
garanti_122,CUST_0215,garanti,2023-04-21,78
garanti_123,CUST_0216,garanti,2024-10-31,43
garanti_124,CUST_0217,garanti,2024-03-16,58
garanti_125,CUST_0218,garanti,2025-01-05,70
garanti_126,CUST_0219,garanti,2024-02-06,17
garanti_127,CUST_0220,garanti,2021-01-11,27
garanti_128,CUST_0221,garanti,2025-07-12,84
garanti_129,CUST_0223,garanti,2024-10-01,18
garanti_130,CUST_0225,garanti,2020-09-19,75
garanti_131,CUST_0226,garanti,2023-04-23,70
garanti_132,CUST_0227,garanti,2022-05-18,88
garanti_133,CUST_0228,garanti,2023-08-25,26
garanti_134,CUST_0229,garanti,2023-02-22,18
garanti_135,CUST_0230,garanti,2020-08-24,40
garanti_136,CUST_0232,garanti,2022-08-19,89
garanti_137,CUST_0234,garanti,2021-05-23,91
garanti_138,CUST_0236,garanti,2025-07-16,68
garanti_139,CUST_0237,garanti,2025-04-23,18
garanti_140,CUST_0240,garanti,2020-08-11,56
garanti_141,CUST_0241,garanti,2023-11-11,99
garanti_142,CUST_0243,garanti,2024-01-02,19
garanti_143,CUST_0244,garanti,2022-11-23,84
garanti_144,CUST_0245,garanti,2023-05-08,73
garanti_145,CUST_0246,garanti,2021-05-26,21
garanti_146,CUST_0247,garanti,2020-12-21,41
garanti_147,CUST_0248,garanti,2022-05-02,9
garanti_148,CUST_0250,garanti,2022-04-06,72
garanti_149,CUST_0252,garanti,2025-04-28,69
garanti_150,CUST_0253,garanti,2024-06-19,93
garanti_151,CUST_0254,garanti,2024-12-07,16
garanti_152,CUST_0256,garanti,2023-01-22,24
garanti_153,CUST_0257,garanti,2020-10-17,41
garanti_154,CUST_0258,garanti,2024-11-18,19
garanti_155,CUST_0260,garanti,2021-10-26,94
garanti_156,CUST_0261,garanti,2025-05-02,4
garanti_157,CUST_0264,garanti,2021-06-10,98
garanti_158,CUST_0265,garanti,2025-05-30,41
garanti_159,CUST_0266,garanti,2021-05-25,53
garanti_160,CUST_0269,garanti,2022-02-13,53
garanti_161,CUST_0271,garanti,2023-11-17,39
garanti_162,CUST_0273,garanti,2023-04-07,57
garanti_163,CUST_0277,garanti,2025-05-01,96
garanti_164,CUST_0278,garanti,2021-11-21,82
garanti_165,CUST_0280,garanti,2024-09-30,95
garanti_166,CUST_0281,garanti,2024-06-15,36
garanti_167,CUST_0283,garanti,2023-05-19,20
garanti_168,CUST_0284,garanti,2023-12-28,100
garanti_169,CUST_0286,garanti,2022-06-26,25
garanti_170,CUST_0288,garanti,2023-07-31,14
garanti_171,CUST_0289,garanti,2024-05-22,17
garanti_172,CUST_0290,garanti,2023-09-23,24
garanti_173,CUST_0292,garanti,2021-04-02,4
garanti_174,CUST_0293,garanti,2021-01-02,98
garanti_175,CUST_0296,garanti,2021-03-28,79
garanti_176,CUST_0297,garanti,2023-09-22,79
garanti_177,CUST_0300,garanti,2024-04-19,35
garanti_178,CUST_0302,garanti,2022-02-26,78
garanti_179,CUST_0303,garanti,2021-10-09,73
garanti_180,CUST_0304,garanti,2022-08-21,79
garanti_181,CUST_0306,garanti,2024-10-25,30
garanti_182,CUST_0307,garanti,2025-03-27,77
garanti_183,CUST_0308,garanti,2020-10-11,30
garanti_184,CUST_0309,garanti,2024-11-29,30
garanti_185,CUST_0311,garanti,2022-04-03,88
garanti_186,CUST_0312,garanti,2023-01-10,4
garanti_187,CUST_0313,garanti,2020-07-29,46
garanti_188,CUST_0314,garanti,2021-12-09,11
garanti_189,CUST_0315,garanti,2021-10-27,89
garanti_190,CUST_0317,garanti,2022-05-19,100
garanti_191,CUST_0318,garanti,2022-03-19,62
garanti_192,CUST_0319,garanti,2023-12-31,18
garanti_193,CUST_0320,garanti,2020-12-03,65
garanti_194,CUST_0321,garanti,2022-07-04,78
garanti_195,CUST_0324,garanti,2023-08-26,61
garanti_196,CUST_0325,garanti,2023-11-17,92
garanti_197,CUST_0326,garanti,2023-06-04,84
garanti_198,CUST_0327,garanti,2021-08-31,48
garanti_199,CUST_0329,garanti,2023-10-02,24
garanti_200,CUST_0331,garanti,2023-09-25,50
garanti_201,CUST_0334,garanti,2022-01-23,63
garanti_202,CUST_0336,garanti,2020-10-18,61
garanti_203,CUST_0338,garanti,2021-02-19,18
garanti_204,CUST_0341,garanti,2023-09-25,21
garanti_205,CUST_0342,garanti,2021-10-14,25
garanti_206,CUST_0343,garanti,2025-06-14,29
garanti_207,CUST_0344,garanti,2024-01-27,5
garanti_208,CUST_0347,garanti,2024-07-12,53
garanti_209,CUST_0348,garanti,2021-02-05,98
garanti_210,CUST_0350,garanti,2024-04-09,2
garanti_211,CUST_0356,garanti,2024-04-13,35
garanti_212,CUST_0357,garanti,2022-01-28,53
garanti_213,CUST_0358,garanti,2024-10-24,29
garanti_214,CUST_0359,garanti,2023-12-14,96
garanti_215,CUST_0363,garanti,2025-06-11,86
garanti_216,CUST_0365,garanti,2021-04-15,26
garanti_217,CUST_0366,garanti,2021-03-30,97
garanti_218,CUST_0370,garanti,2024-01-29,27
garanti_219,CUST_0372,garanti,2021-03-28,9
garanti_220,CUST_0373,garanti,2023-12-13,23
garanti_221,CUST_0376,garanti,2024-08-24,57
garanti_222,CUST_0378,garanti,2023-05-14,79
garanti_223,CUST_0382,garanti,2023-10-01,63
garanti_224,CUST_0383,garanti,2021-08-02,89
garanti_225,CUST_0387,garanti,2024-05-09,42
garanti_226,CUST_0388,garanti,2022-12-19,59
garanti_227,CUST_0389,garanti,2022-10-31,32
garanti_228,CUST_0395,garanti,2024-09-29,55
garanti_229,CUST_0396,garanti,2020-07-29,52
garanti_230,CUST_0399,garanti,2022-12-20,100
garanti_231,CUST_0400,garanti,2021-04-09,6
garanti_232,CUST_0405,garanti,2022-07-27,78
garanti_233,CUST_0411,garanti,2021-11-14,95
garanti_234,CUST_0413,garanti,2023-04-09,49
garanti_235,CUST_0414,garanti,2022-04-14,93
garanti_236,CUST_0415,garanti,2025-06-05,41
garanti_237,CUST_0416,garanti,2024-08-31,51
garanti_238,CUST_0418,garanti,2021-12-31,79
garanti_239,CUST_0421,garanti,2020-08-31,96
garanti_240,CUST_0422,garanti,2021-08-11,74
garanti_241,CUST_0426,garanti,2021-03-28,77
garanti_242,CUST_0428,garanti,2024-04-27,69
garanti_243,CUST_0431,garanti,2024-09-23,68
garanti_244,CUST_0433,garanti,2023-07-06,83
garanti_245,CUST_0435,garanti,2024-09-30,91
garanti_246,CUST_0436,garanti,2022-01-11,5
garanti_247,CUST_0437,garanti,2023-09-23,67
garanti_248,CUST_0440,garanti,2023-03-09,14
garanti_249,CUST_0441,garanti,2024-11-29,58
garanti_250,CUST_0442,garanti,2025-03-03,59
garanti_251,CUST_0446,garanti,2022-12-12,6
garanti_252,CUST_0447,garanti,2022-08-06,32
garanti_253,CUST_0448,garanti,2024-05-09,67
garanti_254,CUST_0449,garanti,2025-06-01,69
garanti_255,CUST_0450,garanti,2025-01-31,51
garanti_256,CUST_0452,garanti,2020-10-14,95
garanti_257,CUST_0453,garanti,2021-10-26,6
garanti_258,CUST_0454,garanti,2024-07-18,72
garanti_259,CUST_0455,garanti,2022-10-07,50
garanti_260,CUST_0456,garanti,2023-07-21,67
garanti_261,CUST_0458,garanti,2021-04-23,98
garanti_262,CUST_0459,garanti,2024-05-14,81
garanti_263,CUST_0460,garanti,2023-08-13,7
garanti_264,CUST_0461,garanti,2022-10-23,25
garanti_265,CUST_0462,garanti,2020-12-13,38
garanti_266,CUST_0465,garanti,2023-05-06,57
garanti_267,CUST_0466,garanti,2023-10-12,51
garanti_268,CUST_0467,garanti,2022-09-28,39
garanti_269,CUST_0468,garanti,2021-11-07,100
garanti_270,CUST_0469,garanti,2024-01-03,37
garanti_271,CUST_0470,garanti,2021-01-07,60
garanti_272,CUST_0472,garanti,2020-12-11,22
garanti_273,CUST_0473,garanti,2025-05-26,55
garanti_274,CUST_0474,garanti,2021-10-07,38
garanti_275,CUST_0475,garanti,2020-11-10,79
garanti_276,CUST_0476,garanti,2023-03-06,7
garanti_277,CUST_0479,garanti,2025-05-18,89
garanti_278,CUST_0480,garanti,2024-11-16,67
garanti_279,CUST_0486,garanti,2023-06-10,19
garanti_280,CUST_0490,garanti,2022-06-11,60
garanti_281,CUST_0491,garanti,2023-10-18,83
garanti_282,CUST_0493,garanti,2025-06-13,58
garanti_283,CUST_0494,garanti,2020-10-25,12
garanti_284,CUST_0495,garanti,2022-07-25,93
garanti_285,CUST_0497,garanti,2023-08-09,65
